item_id,name,short_name,category,types,base_price,best_trader,trader_price,flea_level_required,flea_locked
5fd20ff893a8961fc660a954,.300 Blackout AP,AP,Ammo,"ammo, noFlea",870,Mechanic,487,40,True
648985c074a806211e4fb682,.300 Blackout AP ammo pack (50 pcs),AP,Ammo container,"ammoBox, noFlea",44500,Mechanic,24920,40,True
5fbe3ffdf8b6a877a729ea82,.300 Blackout BCP FMJ,BCP FMJ,Ammo,"ammo, noFlea",288,Mechanic,161,40,True
657023bebfc87b3a34093207,.300 Blackout BCP FMJ ammo pack (50 pcs),FMJ,Ammo container,"ammoBox, noFlea",15400,Mechanic,8624,40,True
64b8725c4b75259c590fa899,.300 Blackout CBJ,CBJ,Ammo,"ammo, noFlea",550,Mechanic,308,40,True
657023a9126cc4a57d0e17a6,.300 Blackout CBJ ammo pack (50 pcs),CBJ,Ammo container,"ammoBox, noFlea",28500,Mechanic,15960,40,True
619636be6db0f2477964e710,.300 Blackout M62 Tracer,M62,Ammo,"ammo, noFlea",413,Mechanic,231,40,True
657023b1cfc010a0f50069e5,.300 Blackout M62 Tracer ammo pack (50 pcs),M62,Ammo container,"ammoBox, noFlea",21650,Mechanic,12124,40,True
6196364158ef8c428c287d9f,.300 Blackout V-Max,V-Max,Ammo,"ammo, noFlea",160,Mechanic,89,40,True
657023b71419851aef03e6e8,.300 Blackout V-Max ammo pack (50 pcs),V-Max,Ammo container,"ammoBox, noFlea",9000,Mechanic,5040,40,True
5cadf6eeae921500134b2799,12.7x55mm PS12B,PS12B,Ammo,"ammo, noFlea",900,Mechanic,504,40,True
648983d6b5a2df1c815a04ec,12.7x55mm PS12B (10 pcs),PS12B,Ammo container,"ammoBox, noFlea",10000,Mechanic,5600,40,True
657024bdc5d7d4cb4d078564,23x75mm Zvezda flashbang round ammo pack (5 pcs),Zvezda,Ammo container,"ammoBox, noFlea",5900,Mechanic,3304,40,True
65702652cfc010a0f5006a53,5.56x45mm M855A1 ammo pack (100 pcs),M855A1,Ammo container,"ammoBox, noFlea",72000,Mechanic,40320,40,True
657024e3c5d7d4cb4d07856a,5.56x45mm M855A1 ammo pack (50 pcs),M855A1,Ammo container,"ammoBox, noFlea",36500,Mechanic,20440,40,True
5d03794386f77420415576f5,6-STEN-140-M military battery,Tank battery,Battery,barter,330000,Therapist,207900,40,True
68e9176da7bbc64c07028543,7.62x25mm ТТ M855A1 ammo pack (25 pcs),ТТ 855A1,Ammo container,"ammoBox, noFlea",9000,Mechanic,5040,40,True
5649ed104bdc2d3d1c8b458b,7.62x39mm PS gzh ammo pack (20 pcs),PS,Ammo container,"ammoBox, noFlea",5800,Mechanic,3248,40,True
65702577cfc010a0f5006a2c,7.62x54mm R LPS gzh ammo pack (20 pcs),LPS,Ammo container,"ammoBox, noFlea",10800,Mechanic,6048,40,True
6570257cc5d7d4cb4d078579,7.62x54mm R PS gzh ammo pack (20 pcs),PS,Ammo container,"ammoBox, noFlea",19400,Mechanic,10864,40,True
657025c4c5d7d4cb4d078582,9x21mm PS gzh ammo pack (30 pcs),PS,Ammo container,"ammoBox, noFlea",8260,Mechanic,4625,40,True
657025cfbfc87b3a34093253,9x39mm PAB-9 gs ammo pack (20 pcs),PAB-9,Ammo container,"ammoBox, noFlea",14400,Mechanic,8064,40,True
627e14b21713922ded6f2c15,Accuracy International AXMC .338 LM bolt-action sniper rifle,AXMC,Sniper rifle,gun,22500,Jaeger,13500,40,True
62973e474bb5ab23071c2a70,Accuracy International AXMC .338 LM bolt-action sniper rifle Default,AXMC Default,Sniper rifle,preset,160550,Mechanic,89907,40,True
674d6121c09f69dfb201a888,Aklys Defense Velociraptor .300 Blackout assault rifle,Velociraptor,Assault rifle,gun,63453,Mechanic,35533,40,True
675ff11da6335de2280d492a,Aklys Defense Velociraptor .300 Blackout assault rifle Default,Velociraptor Default,Assault rifle,preset,120342,Mechanic,67388,40,True
5b4329f05acfc47a86086aa1,DevTac Ronin Respirator,Ronin Respirator,Headwear,"helmet, wearable",69442,Ragman,43054,40,True
68a9a85c3e1ee5a70504c12e,DevTac Ronin Respirator (Beast),Ronin Respirator,Headwear,"noFlea, wearable",69442,Ragman,43054,40,True
68a9a92b838d65bcb3050176,DevTac Ronin Respirator (Eternal Green),Ronin Respirator,Headwear,"noFlea, wearable",69442,Ragman,43054,40,True
66bdc28a0b603c26902b2011,DevTac Ronin ballistic helmet,Ronin,Headwear,wearable,55553,Ragman,34442,40,True
656f611f94b480b8a500c0db,Granit 4 ballistic plate (Front),Granit 4 Front,Armor Plate,armorPlate,34756,Ragman,21548,40,True
656efaf54772930db4031ff5,Granit 4 ballistic plates (Back),Granit 4 Back,Armor Plate,"armorPlate, noFlea",32703,Ragman,20275,40,True
